Server started
Listening on: 0.0.0.0:2017
Client connected. Resource id #195
Client disconnected. Resource id #195
Client disconnected. TCP connection lost: Resource id #195
Client connected. Resource id #196
Client disconnected. Resource id #196
Client connected. Resource id #197
Client disconnected. Resource id #197
Client connected. Resource id #198
Client disconnected. Resource id #198
Client connected. Resource id #199
Client disconnected. Resource id #199
Client connected. Resource id #200
Client disconnected. Resource id #200
Client connected. Resource id #201
Client disconnected. Resource id #201
Client connected. Resource id #202
Client disconnected. Resource id #202
Client connected. Resource id #203
Client disconnected. Resource id #203
Client connected. Resource id #204
Client disconnected. Resource id #204
Client connected. Resource id #205
Client disconnected. Resource id #205
Client disconnected. Resource id #176
Client disconnected. TCP connection lost: Resource id #176
